Start station,Start time,End station,End time
363,2018-03-13 11:06:09 +0100,363,2018-03-13 11:06:22 +0100
363,2018-03-13 12:01:12 +0100,363,2018-03-13 12:01:30 +0100
363,2018-03-13 12:02:27 +0100,363,2018-03-13 12:02:39 +0100
363,2018-03-13 12:02:49 +0100,363,2018-03-13 12:03:09 +0100
363,2018-03-13 12:03:19 +0100,363,2018-03-13 12:03:37 +0100
363,2018-03-13 12:03:51 +0100,363,2018-03-13 12:04:10 +0100
363,2018-03-13 12:05:14 +0100,363,2018-03-13 12:05:34 +0100
243,2018-03-15 07:19:19 +0100,164,2018-03-15 07:26:36 +0100
306,2018-03-30 23:37:31 +0200,306,2018-03-30 23:38:06 +0200
