Start station,Start time,End station,End time
342,2017-12-02 00:46:07 +0100,342,2017-12-02 00:47:30 +0100
222,2017-12-04 08:56:26 +0100,165,2017-12-04 08:58:50 +0100
165,2017-12-04 18:01:54 +0100,222,2017-12-04 18:04:39 +0100
204,2017-12-06 20:18:30 +0100,204,2017-12-06 20:19:11 +0100
228,2017-12-10 04:36:17 +0100,342,2017-12-10 04:50:30 +0100
233,2017-12-10 04:36:29 +0100,225,2017-12-10 04:55:31 +0100
